auctionid,item,auction_type,price,estimated_market_value,winner,runner_up,winner_bid,runner_up_bid,winner_strategy,runner_up_strategy,winner_payoff,runner_up_payoff
1639826019,Cartier wristwatch,5 day auction,2025.0,510.0,djpjohn@aol.com,vickiejaykay,2025.0,2000.0,Late,Late,0.0,0.0
1639929579,Cartier wristwatch,7 day auction,1525.0,510.0,7794369,vickiejaykay,1525.0,1500.0,Late,Late,0.0,0.0
1639979107,Cartier wristwatch,7 day auction,103.5,510.0,inyerdrms,lacagnina,103.5,101.0,Late,Late,406.5,0.0
1640179146,Cartier wristwatch,7 day auction,455.0,510.0,photosflasher,court_carreker,455.0,450.0,Late,Late,55.0,0.0
1640257270,Cartier wristwatch,5 day auction,41.45,510.0,walkabout2,916duc,41.45,40.45,Late,Late,468.55,0.0
1640495398,Cartier wristwatch,5 day auction,1800.0,510.0,mattylip,lisalipman,1800.0,1775.0,Late,Late,0.0,0.0
1640550476,Cartier wristwatch,7 day auction,300.0,510.0,gbcoins,larryr911,300.0,295.0,Late,Late,210.0,0.0
1640653873,Cartier wristwatch,7 day auction,202.5,510.0,debrittod,jimboysan,202.5,200.0,Late,Late,307.5,0.0
1640793161,Cartier wristwatch,7 day auction,2395.0,510.0,roticss,lola723,2395.0,2008.0,Late,Late,0.0,0.0
1640809330,Cartier wristwatch,5 day auction,560.0,510.0,solysoly,fuzzy3028,560.0,550.0,Early,Late,0.0,0.0
1640809333,Cartier wristwatch,5 day auction,1725.0,510.0,ckaret,dolcissimo@yahoo.com,1725.0,1700.0,Late,Late,0.0,0.0
1640936328,Cartier wristwatch,7 day auction,317.0,510.0,happyrova,birdkowsky,317.0,312.0,Late,Late,193.0,0.0
1641062012,Cartier wristwatch,7 day auction,1600.0,510.0,vkns,jpamro@aol.com,1600.0,1599.0,Early,Late,0.0,0.0
1641112143,Cartier wristwatch,5 day auction,880.0,510.0,mannymendez,restdynamics,880.0,870.0,Late,Late,0.0,0.0
1641142160,Cartier wristwatch,3 day auction,200.01,510.0,princess-ginger,groth@bizrate.com,200.01,200.0,Late,Late,309.99,0.0
1641154540,Cartier wristwatch,5 day auction,2425.0,510.0,zonaone2001,eric_olea@paramount.com,2425.0,2400.0,Late,Late,0.0,0.0
1641242797,Cartier wristwatch,7 day auction,450.0,510.0,kiero1@webtv.com,gisbert,450.0,387.0,Early,Early,60.0,0.0
1641457876,Cartier wristwatch,7 day auction,370.0,510.0,gisbert,ahmadk,370.0,365.0,Early,Late,140.0,0.0
1641587440,Cartier wristwatch,7 day auction,349.99,510.0,pascal1666,terryd2053,349.99,301.06,Late,Late,160.01,0.0
1641628327,Cartier wristwatch,7 day auction,1894.78,510.0,sudohani,2jeweleyes,1894.78,1869.78,Late,Early,0.0,0.0
1641629836,Cartier wristwatch,7 day auction,550.0,510.0,kinkino,peterfung@aol.com,550.0,540.0,Late,Late,0.0,0.0
1641722275,Cartier wristwatch,7 day auction,155.0,510.0,skw80104,birdkowsky,155.0,155.0,Late,Late,355.0,0.0
1641783552,Cartier wristwatch,7 day auction,1925.0,510.0,adihcu,iiiimd,1925.0,1900.0,Late,Late,0.0,0.0
1641880134,Cartier wristwatch,7 day auction,456.0,510.0,finn69,pascal1666,456.0,451.0,Late,Late,54.0,0.0
1641880908,Cartier wristwatch,7 day auction,402.0,510.0,pascal1666,glenpi,402.0,401.21,Late,Late,108.0,0.0
1641962219,Cartier wristwatch,5 day auction,435.0,510.0,edwhiteaker,japantiger@hotmail.com,435.0,430.0,Late,Late,75.0,0.0
1642005995,Cartier wristwatch,7 day auction,623.26,510.0,afrye37076@aol.com,auntdotbids,623.26,613.26,Early,Late,0.0,0.0
1642185637,Cartier wristwatch,7 day auction,510.0,510.0,davidsongirl2,thehandmadens,510.0,500.0,Late,Late,0.0,0.0
1642243766,Cartier wristwatch,3 day auction,355.0,510.0,akryzak,gram999,355.0,350.0,Early,Early,155.0,0.0
1642322610,Cartier wristwatch,5 day auction,1799.0,510.0,gregperry,jtw247,1799.0,1778.0,Late,Late,0.0,0.0
1642414724,Cartier wristwatch,5 day auction,510.0,510.0,agarts@aol.com,macattack92,510.0,500.0,Late,Early,0.0,0.0
1642421109,Cartier wristwatch,5 day auction,305.0,510.0,dressy-bessy,sandragian,305.0,300.0,Late,Late,205.0,0.0
1642424500,Cartier wristwatch,5 day auction,150.0,510.0,sandragian,birdkowsky,150.0,150.0,Late,Early,360.0,0.0
1642514892,Cartier wristwatch,7 day auction,1025.0,510.0,ralph.oman@dechert.com,lass1004,1025.0,1000.0,Late,Early,0.0,0.0
1642534283,Cartier wristwatch,7 day auction,1125.0,510.0,jseid,happyrova,1125.0,1100.0,Late,Late,0.0,0.0
1642561397,Cartier wristwatch,7 day auction,1825.0,510.0,dscollier3,steven1328,1825.0,1800.0,Late,Early,0.0,0.0
1642875447,Cartier wristwatch,7 day auction,831.0,510.0,jennou,avion1333@hotmail.com,831.0,821.0,Late,Late,0.0,0.0
1642876200,Cartier wristwatch,7 day auction,841.0,510.0,avion1333@hotmail.com,dkbay,841.0,831.0,Late,Late,0.0,0.0
1642911743,Cartier wristwatch,7 day auction,430.0,510.0,pascal1666,mb@wellsref.com,430.0,425.0,Late,Late,80.0,0.0
1643075711,Cartier wristwatch,3 day auction,1225.0,510.0,6969.ca,gm492@columbia.edu,1225.0,1200.0,Late,Late,0.0,0.0
1643136423,Cartier wristwatch,7 day auction,400.0,510.0,sandseller,gram999,400.0,325.0,Late,Early,110.0,0.0
1643187764,Cartier wristwatch,7 day auction,276.05,510.0,drob223,josephvkuca@msn.com,276.05,275.0,Late,Late,233.95,0.0
1643201832,Cartier wristwatch,7 day auction,1599.0,510.0,philwl3290,k.l.pine,1599.0,1000.0,Late,Early,0.0,0.0
1643212361,Cartier wristwatch,7 day auction,2600.0,510.0,youmast,fxschmidt,2600.0,2569.77,Late,Early,0.0,0.0
1643244227,Cartier wristwatch,7 day auction,1025.0,510.0,adammurry,somto_offoh,1025.0,1000.0,Late,Late,0.0,0.0
1643544538,Cartier wristwatch,3 day auction,405.0,510.0,yung-wen,robcmjr@bellsouth.net,405.0,400.0,Late,Late,105.0,0.0
1643885624,Cartier wristwatch,3 day auction,326.0,510.0,tverna,bigdaddy67,326.0,325.0,Late,Late,184.0,0.0
1643903116,Cartier wristwatch,3 day auction,40.87,510.0,vnvu009,bonerboy-24401,40.87,39.87,Late,Late,469.13,0.0
1643903372,Cartier wristwatch,3 day auction,26.0,510.0,2gd4u,phyllis120577,26.0,25.0,Late,Early,484.0,0.0
1644046945,Cartier wristwatch,7 day auction,3800.0,510.0,sirocco@prodigy.net,nguyenat@san.rr.com,3800.0,3000.0,Late,Late,0.0,0.0
1644049270,Cartier wristwatch,7 day auction,1600.0,510.0,superstore4less,adammurry,1600.0,1580.0,Late,Late,0.0,0.0
1644077790,Cartier wristwatch,7 day auction,1400.0,510.0,bally29,vangoghbouvie,1400.0,570.01,Early,Early,0.0,0.0
1644077820,Cartier wristwatch,7 day auction,374.0,510.0,mb@wellsref.com,gisbert,374.0,369.0,Late,Early,136.0,0.0
1644109746,Cartier wristwatch,7 day auction,3103.0,510.0,nelsoncpm,ccd79,3103.0,3100.0,Late,Late,0.0,0.0
1644138548,Cartier wristwatch,7 day auction,2100.0,510.0,adammurry,sami-girl,2100.0,2000.0,Late,Early,0.0,0.0
1644197869,Cartier wristwatch,7 day auction,300.0,510.0,luxurysource001,marky63,300.0,299.0,Early,Late,210.0,0.0
1644252877,Cartier wristwatch,7 day auction,1524.99,510.0,skygirlab,berler@msn.com,1524.99,1500.0,Early,Early,0.0,0.0
1644309984,Cartier wristwatch,7 day auction,430.0,510.0,hhfgf,friscotheman@aol.com,430.0,425.0,Late,Late,80.0,0.0
1644327264,Cartier wristwatch,5 day auction,425.0,510.0,netabe,sebring-1,425.0,420.0,Late,Late,85.0,0.0
1644343468,Cartier wristwatch,7 day auction,1038.99,510.0,5038scoopy,chi-town7,1038.99,1013.99,Late,Late,0.0,0.0
1644357387,Cartier wristwatch,7 day auction,640.0,510.0,bobfitz@bellsouth.net,hhfgf,640.0,630.0,Early,Late,0.0,0.0
1644594033,Cartier wristwatch,7 day auction,498.0,510.0,hora01,boraborabora,498.0,493.0,Late,Late,12.0,0.0
1644681469,Cartier wristwatch,7 day auction,935.0,510.0,alfietravers,eosnead@aol.com,935.0,925.0,Late,Late,0.0,0.0
1644724061,Cartier wristwatch,7 day auction,305.0,510.0,tongyan,dream4321,305.0,300.0,Late,Late,205.0,0.0
1644739924,Cartier wristwatch,7 day auction,455.0,510.0,dollfacepumpkin,gram999,455.0,450.0,Late,Late,55.0,0.0
1644752795,Cartier wristwatch,7 day auction,1800.0,510.0,golfhacksaw,ljr32,1800.0,1775.0,Late,Early,0.0,0.0
1644760539,Cartier wristwatch,7 day auction,327.23,510.0,bosspad,vat15@earthlink.net,327.23,322.23,Late,Late,182.76999999999998,0.0
1645542737,Cartier wristwatch,5 day auction,386.0,510.0,nola,gisbert,386.0,381.0,Late,Early,124.0,0.0
1645594382,Cartier wristwatch,7 day auction,500.0,510.0,tea_pot_girl,fveta,500.0,252.5,Late,Late,10.0,0.0
1645883276,Cartier wristwatch,3 day auction,610.0,510.0,sb812,pereluzi00,610.0,600.0,Late,Early,0.0,0.0
1645914432,Cartier wristwatch,3 day auction,511.0,510.0,gracedivine,beelprez,511.0,501.0,Late,Early,0.0,0.0
1645989170,Cartier wristwatch,7 day auction,280.0,510.0,cudd8963@aol.com,sactogroove,280.0,275.0,Late,Late,230.0,0.0
1646007296,Cartier wristwatch,7 day auction,113.5,510.0,dadjr@stargate.net,crazy4watches,113.5,111.0,Late,Late,396.5,0.0
1646079608,Cartier wristwatch,5 day auction,438.0,510.0,ivette.ramirez,gbcoins,438.0,433.0,Early,Late,72.0,0.0
1646145109,Cartier wristwatch,7 day auction,355.0,510.0,varvara_b,hseldin,355.0,350.0,Late,Late,155.0,0.0
1646353713,Cartier wristwatch,3 day auction,1735.0,510.0,barginbook,pereluzi00,1735.0,1710.0,Late,Late,0.0,0.0
1646448593,Cartier wristwatch,5 day auction,202.5,510.0,queendebi2000,hhfgf,202.5,200.0,Late,Late,307.5,0.0
1646573469,Cartier wristwatch,7 day auction,1226.0,510.0,investmoore2,pwr2mvu,1226.0,1201.0,Late,Late,0.0,0.0
1646988233,Cartier wristwatch,5 day auction,620.0,510.0,pgrimes,averart,620.0,610.0,Late,Late,0.0,0.0
1647149304,Cartier wristwatch,3 day auction,752.56,510.0,chi-town7,auntdotbids,752.56,742.56,Late,Late,0.0,0.0
1647320738,Cartier wristwatch,7 day auction,452.87,510.0,pcsoftwareman,jepattiii,452.87,450.0,Late,Early,57.129999999999995,0.0
1647329406,Cartier wristwatch,7 day auction,1000.0,510.0,19750926o,cbcolqunoun,1000.0,800.0,Late,Late,0.0,0.0
1647567213,Cartier wristwatch,7 day auction,1525.0,510.0,lemsgems,englishteacher21,1525.0,1500.0,Late,Early,0.0,0.0
1647637035,Cartier wristwatch,7 day auction,390.0,510.0,libobo,kfreyvog@tampabay.rr.com,390.0,385.0,Late,Late,120.0,0.0
1647844282,Cartier wristwatch,7 day auction,1035.0,510.0,millyjohn,asianstar_pat,1035.0,1010.0,Late,Late,0.0,0.0
1647846714,Cartier wristwatch,7 day auction,905.45,510.0,lc30,netabe,905.45,901.99,Late,Late,0.0,0.0
1647870862,Cartier wristwatch,3 day auction,1250.0,510.0,pressmer1,kakruse,1250.0,1225.0,Late,Late,0.0,0.0
1648041601,Cartier wristwatch,7 day auction,335.0,510.0,bogdanbost,jzdennis,335.0,330.0,Late,Late,175.0,0.0
1648176677,Cartier wristwatch,7 day auction,306.88,510.0,timevu,latinirish,306.88,301.88,Late,Early,203.12,0.0
1648193761,Cartier wristwatch,7 day auction,179.5,510.0,timevu,earljrainbow,179.5,177.0,Late,Late,330.5,0.0
1648233039,Cartier wristwatch,3 day auction,176.5,510.0,cmtk1,tonyfred1@aol.com,176.5,174.0,Early,Late,333.5,0.0
1648252368,Cartier wristwatch,7 day auction,680.0,510.0,fuzzy3028,yuriyshrifteylik@altavist,680.0,670.0,Late,Late,0.0,0.0
1648363974,Cartier wristwatch,7 day auction,407.0,510.0,smileoften,motion32,407.0,402.0,Late,Late,103.0,0.0
1648613621,Cartier wristwatch,7 day auction,405.0,510.0,jzdennis,hillaryirene@earthlink.ne,405.0,400.0,Late,Early,105.0,0.0
1648661746,Cartier wristwatch,7 day auction,540.0,510.0,poplim,tealeaf9,540.0,530.0,Late,Late,0.0,0.0
1648706567,Cartier wristwatch,5 day auction,202.5,510.0,marie0711,ntrudeau,202.5,200.0,Late,Late,307.5,0.0
1648782304,Cartier wristwatch,3 day auction,405.0,510.0,cars4016,claxonn,405.0,400.0,Early,Early,105.0,0.0
1648968984,Cartier wristwatch,5 day auction,960.0,510.0,hjg6593,worze@washcorp.com,960.0,950.0,Late,Late,0.0,0.0
1649028956,Cartier wristwatch,5 day auction,731.21,510.0,uscmd@aol.com,glenpi,731.21,721.21,Late,Late,0.0,0.0
1649131866,Cartier wristwatch,3 day auction,304.98,510.0,cbcolqunoun,bigpoppalarock,304.98,299.98,Late,Late,205.01999999999998,0.0
1649173313,Cartier wristwatch,7 day auction,349.99,510.0,wlp@mediaone.net,saphi7171@amexol.net,349.99,260.0,Late,Late,160.01,0.0
1649513497,Cartier wristwatch,7 day auction,1625.0,510.0,vpham.2000,growingwild,1625.0,1600.0,Late,Early,0.0,0.0
1649567847,Cartier wristwatch,7 day auction,2325.0,510.0,jettie21,page5@aol.com,2325.0,2300.0,Late,Late,0.0,0.0
1649639405,Cartier wristwatch,7 day auction,1880.0,510.0,skkindvall@scottsbluff.ne,boberlander@slk.com,1880.0,1855.0,Late,Early,0.0,0.0
1649718196,Cartier wristwatch,7 day auction,1799.0,510.0,rrsumba,gjunca,1799.0,1701.0,Late,Late,0.0,0.0
1649726994,Cartier wristwatch,3 day auction,2500.0,510.0,drumzz,wworld@bignet.net,2500.0,2000.0,Late,Late,0.0,0.0
1649757877,Cartier wristwatch,7 day auction,760.0,510.0,pereluzi00,xela15,760.0,750.0,Early,Early,0.0,0.0
1649808226,Cartier wristwatch,7 day auction,1720.0,510.0,inside-i,luxustoys,1720.0,1695.0,Late,Late,0.0,0.0
1649845539,Cartier wristwatch,7 day auction,609.99,510.0,smartgirl0204,pro2cer@hotmail.com,609.99,599.99,Late,Late,0.0,0.0
1649848613,Cartier wristwatch,7 day auction,1100.0,510.0,njbirdmom,19750926o,1100.0,910.0,Early,Early,0.0,0.0
1649858595,Cartier wristwatch,7 day auction,202.5,510.0,gladioly68,bahamawoman,202.5,200.0,Late,Early,307.5,0.0
1649944294,Cartier wristwatch,7 day auction,1485.0,510.0,strongob,boxsterbear,1485.0,1460.0,Late,Late,0.0,0.0
1650162165,Cartier wristwatch,7 day auction,620.0,510.0,24knice,tampa_tap,620.0,610.0,Late,Late,0.0,0.0
1650406935,Cartier wristwatch,5 day auction,1525.0,510.0,bertottifrank,coolcars12345,1525.0,1500.0,Late,Late,0.0,0.0
1650483277,Cartier wristwatch,7 day auction,124.25,510.0,cindy4779,darwal-dep,124.25,121.75,Late,Late,385.75,0.0
1650515990,Cartier wristwatch,7 day auction,850.0,510.0,signedpiecesinc,sandragian,850.0,500.0,Late,Early,0.0,0.0
1650530689,Cartier wristwatch,7 day auction,3050.0,510.0,rplfunding,alexiku,3050.0,3000.0,Late,Early,0.0,0.0
1650699048,Cartier wristwatch,7 day auction,154.38,510.0,overflowingcloset,bupper99,154.38,151.88,Late,Late,355.62,0.0
1650981438,Cartier wristwatch,7 day auction,380.0,510.0,singdiam,1italian69,380.0,375.0,Early,Early,130.0,0.0
1650986455,Cartier wristwatch,7 day auction,405.0,510.0,gram999,sandseller,405.0,400.0,Early,Early,105.0,0.0
2920317714,Palm Pilot M515 PDA,7 day auction,260.0,231.5,jde0216,chancey99,260.0,255.0,Late,Late,0.0,0.0
2920320059,Palm Pilot M515 PDA,3 day auction,256.86,231.5,misdsupt,miclakennels,256.86,251.86,Late,Late,0.0,0.0
2920322392,Palm Pilot M515 PDA,5 day auction,260.0,231.5,jde0216,ibiza_girl99,260.0,260.0,Late,Late,0.0,0.0
2920504693,Palm Pilot M515 PDA,7 day auction,238.02,231.5,whitewhile,chronolog2003,238.02,235.52,Late,Late,0.0,0.0
3013787547,Palm Pilot M515 PDA,7 day auction,231.5,231.5,tom*ipc,djkesavan,231.5,229.0,Early,Late,0.0,0.0
3013839128,Palm Pilot M515 PDA,7 day auction,251.11,231.5,urblut,daka2000,251.11,250.0,Late,Late,0.0,0.0
3013874420,Palm Pilot M515 PDA,7 day auction,247.5,231.5,gizguy65,gwharp,247.5,245.0,Late,Late,0.0,0.0
3013884772,Palm Pilot M515 PDA,7 day auction,237.5,231.5,antjr0,timgoodnight,237.5,235.0,Late,Late,0.0,0.0
3013912877,Palm Pilot M515 PDA,7 day auction,232.5,231.5,daka2000,jcjdoss,232.5,230.0,Late,Late,0.0,0.0
3013951754,Palm Pilot M515 PDA,5 day auction,242.5,231.5,oscarwinningdirector,viman2,242.5,240.0,Late,Late,0.0,0.0
3014012075,Palm Pilot M515 PDA,5 day auction,250.0,231.5,viman2,dkdubose,250.0,250.0,Late,Late,0.0,0.0
3014012355,Palm Pilot M515 PDA,7 day auction,240.0,231.5,msvjcpa,timgoodnight,240.0,240.0,Late,Late,0.0,0.0
3014012365,Palm Pilot M515 PDA,7 day auction,237.5,231.5,wmyers1020,timgoodnight,237.5,235.0,Late,Late,0.0,0.0
3014085073,Palm Pilot M515 PDA,5 day auction,259.02,231.5,prtc,manoo75,259.02,254.02,Late,Late,0.0,0.0
3014314236,Palm Pilot M515 PDA,5 day auction,280.0,231.5,susan_hopkinson_fishman,wendypatton,280.0,275.0,Late,Late,0.0,0.0
3014467615,Palm Pilot M515 PDA,7 day auction,280.0,231.5,shelliow,lcw2003,280.0,275.0,Late,Late,0.0,0.0
3014480955,Palm Pilot M515 PDA,7 day auction,260.0,231.5,ctownjoe,catluvr2,260.0,255.0,Late,Late,0.0,0.0
3014527296,Palm Pilot M515 PDA,7 day auction,253.0,231.5,sunshine_007,81301,253.0,250.0,Late,Late,0.0,0.0
3014572100,Palm Pilot M515 PDA,7 day auction,240.0,231.5,bbbee,jjbushjj,240.0,237.5,Late,Late,0.0,0.0
3014616784,Palm Pilot M515 PDA,7 day auction,234.01,231.5,stevenbraden,itsmgr817,234.01,231.51,Late,Late,0.0,0.0
3014671042,Palm Pilot M515 PDA,7 day auction,252.51,231.5,by_a_bay,cashman517@aol.com,252.51,250.0,Late,Late,0.0,0.0
3014772364,Palm Pilot M515 PDA,5 day auction,270.0,231.5,kbuffaline,drrebhuhn,270.0,265.0,Late,Late,0.0,0.0
3014792711,Palm Pilot M515 PDA,7 day auction,233.02,231.5,jlbbears,bk_black,233.02,230.55,Late,Late,0.0,0.0
3014797177,Palm Pilot M515 PDA,3 day auction,222.5,231.5,fayray5k,polish_mistress,222.5,220.0,Late,Late,9.0,0.0
3014834745,Palm Pilot M515 PDA,3 day auction,213.5,231.5,pabexp,burkzzy,213.5,211.0,Late,Late,18.0,0.0
3014834982,Palm Pilot M515 PDA,5 day auction,217.5,231.5,u05409,laughter_girl,217.5,215.0,Late,Late,14.0,0.0
3014835507,Palm Pilot M515 PDA,7 day auction,207.5,231.5,larrypem42,d_mike_h,207.5,205.0,Late,Late,24.0,0.0
3014836964,Palm Pilot M515 PDA,7 day auction,208.01,231.5,d_mike_h,chrisa76,208.01,205.51,Late,Late,23.49000000000001,0.0
3014844738,Palm Pilot M515 PDA,3 day auction,213.5,231.5,fayray5k,burkzzy,213.5,211.0,Late,Late,18.0,0.0
3014844871,Palm Pilot M515 PDA,5 day auction,210.0,231.5,bobmagbole,mmannboat,210.0,210.0,Late,Late,21.5,0.0
3014878060,Palm Pilot M515 PDA,7 day auction,255.0,231.5,reachrc,cjohhny,255.0,250.0,Late,Early,0.0,0.0
3015011363,Palm Pilot M515 PDA,3 day auction,270.0,231.5,kathie725,by_a_bay,270.0,265.0,Late,Late,0.0,0.0
3015053455,Palm Pilot M515 PDA,3 day auction,260.0,231.5,a_dolphin44,hrhprincevince,260.0,222.5,Late,Late,0.0,0.0
3015053536,Palm Pilot M515 PDA,5 day auction,207.6,231.5,gibrandiab,music_by_design,207.6,205.1,Late,Late,23.900000000000006,0.0
3015053617,Palm Pilot M515 PDA,7 day auction,210.01,231.5,bk_black,chrisa76,210.01,209.51,Late,Late,21.49000000000001,0.0
3015060138,Palm Pilot M515 PDA,5 day auction,212.5,231.5,jimmylam1,swingingsteely,212.5,210.0,Late,Early,19.0,0.0
3015103095,Palm Pilot M515 PDA,7 day auction,202.5,231.5,rbpear,wmgirl333,202.5,200.0,Late,Early,29.0,0.0
3015148398,Palm Pilot M515 PDA,7 day auction,255.25,231.5,sportsboi,ztm25,255.25,250.25,Late,Late,0.0,0.0
3015318631,Palm Pilot M515 PDA,3 day auction,255.0,231.5,81301,wholesalejewelery,255.0,250.0,Late,Late,0.0,0.0
3015328849,Palm Pilot M515 PDA,7 day auction,212.5,231.5,witchy_wmn,drjmitch,212.5,210.0,Late,Late,19.0,0.0
3015344188,Palm Pilot M515 PDA,5 day auction,235.0,231.5,freedom*48,oldtimer52golf,235.0,232.5,Late,Late,0.0,0.0
3015358053,Palm Pilot M515 PDA,5 day auction,260.0,231.5,mdcarmon,cjohhny,260.0,255.0,Late,Late,0.0,0.0
3015396986,Palm Pilot M515 PDA,7 day auction,227.5,231.5,g.scottwarner,jireyes,227.5,225.0,Late,Late,4.0,0.0
3015467305,Palm Pilot M515 PDA,7 day auction,227.5,231.5,hoosierfirefighter,dastew6069,227.5,225.0,Late,Late,4.0,0.0
3015469474,Palm Pilot M515 PDA,5 day auction,235.0,231.5,dsc420,misdsupt,235.0,232.5,Late,Late,0.0,0.0
3015513105,Palm Pilot M515 PDA,5 day auction,229.04,231.5,jackelopeus,stutz688,229.04,226.54,Late,Late,2.460000000000008,0.0
3015513138,Palm Pilot M515 PDA,3 day auction,226.0,231.5,hewittne,cooliojulio,226.0,225.0,Late,Late,5.5,0.0
3015520083,Palm Pilot M515 PDA,3 day auction,213.05,231.5,wedav,maenerd50,213.05,210.55,Late,Late,18.44999999999999,0.0
3015520299,Palm Pilot M515 PDA,5 day auction,232.5,231.5,lbkornyoh,diracnz,232.5,230.0,Late,Late,0.0,0.0
3015520551,Palm Pilot M515 PDA,7 day auction,232.5,231.5,friend_id,dwalljax,232.5,230.0,Late,Late,0.0,0.0
3015546956,Palm Pilot M515 PDA,7 day auction,255.0,231.5,fir_tree,cjohhny,255.0,250.0,Late,Early,0.0,0.0
3015549707,Palm Pilot M515 PDA,7 day auction,255.0,231.5,scurtright,cjohhny,255.0,250.0,Late,Late,0.0,0.0
3015592850,Palm Pilot M515 PDA,5 day auction,231.02,231.5,stutz688,this-n-that0_0,231.02,228.52,Late,Late,0.47999999999998977,0.0
3015632013,Palm Pilot M515 PDA,7 day auction,215.03,231.5,friend_id,kookie98,215.03,212.53,Late,Late,16.47,0.0
3015682701,Palm Pilot M515 PDA,7 day auction,222.5,231.5,jonsphilly,dwalljax,222.5,220.0,Late,Late,9.0,0.0
3015694920,Palm Pilot M515 PDA,3 day auction,270.0,231.5,gidionlab,kantipandya,270.0,270.0,Late,Early,0.0,0.0
3015710025,Palm Pilot M515 PDA,3 day auction,242.5,231.5,meir8604,johnoots631,242.5,240.0,Late,Early,0.0,0.0
3015710036,Palm Pilot M515 PDA,7 day auction,262.0,231.5,cjtaylorx2,janeandeli,262.0,261.5,Late,Late,0.0,0.0
3015710047,Palm Pilot M515 PDA,5 day auction,255.01,231.5,gidionlab,johnoots631,255.01,250.01,Late,Late,0.0,0.0
3015826410,Palm Pilot M515 PDA,7 day auction,232.5,231.5,daleydn,welty1golfer303,232.5,230.0,Late,Late,0.0,0.0
3015860830,Palm Pilot M515 PDA,3 day auction,274.0,231.5,lewes38,cjohhny,274.0,269.0,Late,Late,0.0,0.0
3015898779,Palm Pilot M515 PDA,7 day auction,255.0,231.5,dwalljax,dschettl,255.0,250.0,Late,Late,0.0,0.0
3015909210,Palm Pilot M515 PDA,3 day auction,232.5,231.5,bk_black,dwalljax,232.5,230.0,Late,Late,0.0,0.0
3015909534,Palm Pilot M515 PDA,5 day auction,207.5,231.5,nikehightops,mpowerbim,207.5,205.0,Late,Late,24.0,0.0
3015909790,Palm Pilot M515 PDA,7 day auction,207.5,231.5,tel-tek,scottyhotwheels,207.5,205.0,Late,Late,24.0,0.0
3015915692,Palm Pilot M515 PDA,7 day auction,220.0,231.5,scottyhotwheels,dlord254,220.0,220.0,Late,Late,11.5,0.0
3015942588,Palm Pilot M515 PDA,5 day auction,212.5,231.5,marie1c,adamsees,212.5,210.0,Late,Late,19.0,0.0
3015958025,Palm Pilot M515 PDA,3 day auction,226.03,231.5,bk_black,chrisa76,226.03,223.53,Late,Late,5.469999999999999,0.0
3016035790,Palm Pilot M515 PDA,7 day auction,197.5,231.5,jonathanyoung@clear.net.nz,germanojp,197.5,195.0,Late,Late,34.0,0.0
3016189459,Palm Pilot M515 PDA,7 day auction,210.21,231.5,fotofes@aeneas.net,gkienz,210.21,207.71,Late,Late,21.289999999999992,0.0
3016329182,Palm Pilot M515 PDA,5 day auction,251.0,231.5,alex19802,jsjcs,251.0,248.5,Late,Late,0.0,0.0
3016342535,Palm Pilot M515 PDA,3 day auction,247.8,231.5,bbeck3166,maxoutdad,247.8,245.3,Late,Late,0.0,0.0
